x,y,t,velocity,gaze_state
530.4403686523438,167.06790161132812,290.726308,131.91209989919656,OTHER
530.4132080078125,167.3302764892578,290.736333,26.3119148014521,FIXATION
529.9814453125,167.1065216064453,290.746329,48.64921113826214,OTHER
530.2813110351562,167.1390838623047,290.756314,30.20816226313221,OTHER
530.2722778320312,167.22653198242188,290.76638,8.733701308613027,FIXATION
529.5405883789062,166.97021484375,290.776405,77.3352328702894,OTHER
528.3590087890625,166.66506958007812,290.786401,122.08341695177941,OTHER
527.327392578125,166.37619018554688,290.796386,107.29091870140724,OTHER
525.8369140625,166.12594604492188,290.806453,150.12813290328947,OTHER
524.0465087890625,165.84312438964844,290.816479,180.79050663209208,OTHER
522.1243896484375,165.36915588378906,290.826474,198.06842920536357,OTHER
520.202392578125,164.8952178955078,290.836458,198.27405081788777,OTHER
521.4019775390625,165.0254669189453,290.846526,119.84856553122499,OTHER
522.7969970703125,164.73486328125,290.856551,142.14131218207126,OTHER
520.4425048828125,166.95529174804688,290.866546,323.79650760751707,SACCADE
492.7939147949219,170.14822387695312,290.876532,2787.1363493878157,SACCADE
478.8378601074219,170.04986572265625,290.886598,1386.4892989095868,SACCADE
471.8103942871094,156.45904541015625,290.896623,1526.2030302957496,SACCADE
471.64361572265625,162.18788146972656,290.906619,573.35566068795,SACCADE
471.5716247558594,167.04727172851562,290.916603,486.7711834873391,SACCADE
472.2458801269531,167.82876586914062,290.92667,102.52901354606489,OTHER
472.4891052246094,168.38644409179688,290.936695,60.68933583561446,OTHER
473.2171020507813,171.4769744873047,290.946692,317.6068173392309,SACCADE
473.4620666503906,170.61769104003906,290.956676,89.49506381173022,OTHER
473.90283203125,170.75413513183594,290.966743,45.833043354771675,OTHER
474.0718994140625,170.59532165527344,290.976768,23.138167228309026,FIXATION
475.1603698730469,170.3591766357422,290.986764,111.42376012468696,OTHER
476.108154296875,170.0192108154297,290.996749,100.84247847978908,OTHER
477.3560485839844,169.71185302734375,291.006816,127.66348446898529,OTHER
478.8010559082031,168.9832000732422,291.01684,161.4452011045951,OTHER
480.3872985839844,166.94210815429688,291.026837,258.5775161572693,OTHER
480.99755859375,165.5037841796875,291.036821,156.49356989797292,OTHER
481.3541259765625,165.01158142089844,291.046888,60.37409622446863,OTHER
483.27685546875,162.6548309326172,291.056913,303.3987251000278,SACCADE
483.77337646484375,163.68173217773438,291.066908,114.12104549540422,OTHER
