frame_index,frame_time,transformed_gaze_x,transformed_gaze_y
464,18.594,nan,nan
465,18.634,nan,nan
466,18.674,nan,nan
467,18.714,nan,nan
468,18.754,nan,nan
469,18.794,nan,nan
470,18.834,nan,nan
471,18.874,nan,nan
472,18.914,nan,nan
473,18.954,nan,nan
474,18.994,nan,nan
475,19.034,nan,nan
476,19.075,nan,nan
477,19.115,nan,nan
478,19.155,nan,nan
479,19.195,nan,nan
480,19.235,nan,nan
481,19.275,nan,nan
482,19.315,nan,nan
483,19.355,nan,nan
484,19.395,nan,nan
485,19.435,nan,nan
486,19.475,nan,nan
487,19.515,nan,nan
488,19.555,nan,nan
489,19.595,nan,nan
490,19.636,nan,nan
491,19.676,nan,nan
492,19.716,nan,nan
493,19.756,nan,nan
494,19.796,nan,nan
495,19.836,nan,nan
496,19.876,nan,nan
497,19.916,nan,nan
498,19.956,nan,nan
499,19.996,nan,nan
500,20.036,nan,nan
501,20.076,nan,nan
502,20.116,nan,nan
503,20.156,nan,nan
504,20.197,nan,nan
505,20.237,nan,nan
506,20.277,nan,nan
507,20.317,nan,nan
508,20.357,nan,nan
509,20.397,nan,nan
510,20.437,nan,nan
511,20.477,nan,nan
512,20.517,nan,nan
513,20.557,nan,nan
514,20.597,nan,nan
515,20.637,nan,nan
516,20.677,nan,nan
517,20.717,nan,nan
518,20.758,nan,nan
519,20.798,nan,nan
520,20.838,nan,nan
521,20.878,nan,nan
522,20.918,nan,nan
523,20.958,nan,nan
524,20.998,nan,nan
525,21.038,nan,nan
526,21.078,nan,nan
527,21.118,nan,nan
528,21.158,nan,nan
529,21.198,nan,nan
530,21.238,nan,nan
531,21.278,nan,nan
532,21.319,nan,nan
533,21.359,nan,nan
534,21.399,nan,nan
535,21.439,nan,nan
536,21.479,nan,nan
537,21.519,nan,nan
538,21.559,nan,nan
539,21.599,nan,nan
540,21.639,nan,nan
541,21.679,nan,nan
542,21.719,nan,nan
543,21.759,nan,nan
544,21.799,nan,nan
545,21.84,nan,nan
546,21.88,nan,nan
547,21.92,nan,nan
548,21.96,nan,nan
549,22.0,nan,nan
550,22.04,nan,nan
551,22.08,nan,nan
